# Constructed from biom file
#OTU ID	SRR10120012	SRR10120013	SRR10120014	SRR10120015	SRR10120016	SRR10120017	SRR10120018	SRR10120019	SRR10120020	SRR10120021	SRR10120022	SRR10120023	SRR10120024	SRR10120025	SRR10120026	SRR10120027	SRR10120028	SRR10120029	SRR10120030	SRR10120031	SRR10120032	SRR10120033	SRR10120034	SRR10120035	SRR10120036	SRR10120037	SRR10120038	SRR10120039	SRR10120040	SRR10120041	SRR10120042	SRR10120043	SRR10120044	SRR10120045	SRR10120046	SRR10120047	SRR10120048	SRR10120049	SRR10120050	SRR10120051	SRR10120052	SRR10120053	SRR10120054	SRR10120055	SRR10120056	SRR10120057	SRR10120058	SRR10120059	SRR10120060	SRR10120061	SRR10120062	SRR10120063	SRR10120064	SRR10120065	SRR10120066	SRR10120067	SRR10120068	SRR10120069	SRR10120070	SRR10120071	SRR10120072	SRR10120073	SRR10120074	SRR10120075	SRR10120076	SRR10120077	SRR10120078	SRR10120079	SRR10120080	SRR10120081	SRR10120082	SRR10120083	SRR10120084	SRR10120085	SRR10120086	SRR10120087	SRR10120088	SRR10120089	SRR10120090	SRR10120091	SRR10120092	SRR10120093	SRR10120094	SRR10120095	SRR10120096	SRR10120097	SRR10120098	SRR10120099	SRR10120100	SRR10120101	SRR10120102	SRR10120103	SRR10120104	SRR10120105	SRR10120106	SRR10120107	SRR10120108	SRR10120109	SRR10120110	SRR10120111	SRR10120112	SRR10120113	SRR10120114	SRR10120115	SRR10120116	SRR10120117	SRR10120118	SRR10120119	SRR10120120	SRR10120121	SRR10120122	SRR10120123	SRR10120124
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	10.0	149.0	1094.0	784.0	2226.0	0.0	308.0	548.0	231.0	113.0	47.0	14.0	24.0	130.0	127.0	0.0	629.0	114.0	846.0	51.0	538.0	580.0	7288.0	27.0	1146.0	60.0	12.0	235.0	3471.0	45.0	186.0	126.0	19.0	10162.0	322.0	464.0	6.0	311.0	132.0	1149.0	189.0	121.0	50.0	41.0	3710.0	549.0	265.0	215.0	564.0	175.0	126.0	457.0	2269.0	3511.0	11.0	1854.0	1586.0	752.0	86.0	1378.0	5153.0	92.0	2548.0	17.0	594.0	850.0	236.0	257.0	350.0	386.0	264.0	245.0	176.0	104.0	900.0	257.0	1632.0	40.0	75.0	239.0	135.0	410.0	203.0	104.0	241.0	510.0	2.0	0.0	538.0	58.0	297.0	118.0	2606.0	118.0	2044.0	133.0	3567.0	742.0	153.0	634.0	4250.0	28.0	19.0	2720.0	0.0	501.0	17.0	144.0	97.0	168.0	434.0	240.0	59.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	6.0	516.0	224.0	0.0	0.0	193.0	21.0	42.0	0.0	0.0	0.0	8.0	220.0	0.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	75.0	83.0	0.0	11.0	0.0	0.0	13.0	8.0	0.0	0.0	0.0	0.0	0.0	876.0	0.0	392.0	0.0	0.0	3.0	350.0	0.0	95.0	4367.0	29.0	0.0	0.0	0.0	0.0	350.0	0.0	10.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	65.0	11.0	0.0	0.0	8.0	3.0	998.0	0.0	770.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	516.0	0.0	0.0	8.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	4.0	0.0	0.0	211.0	3.0	0.0	97.0	0.0	7.0	14.0	0.0	22159.0	0.0	0.0	60.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	3768.0	61.0	16.0	158.0	107.0	3653.0	307.0	12801.0	602.0	23.0	37.0	128.0	5785.0	5.0	0.0	288.0	1182.0	0.0	4.0	1416.0	0.0	103.0	0.0	415.0	22.0	0.0	203.0	0.0	294.0	10.0	2951.0	16.0	1021.0	38.0	129.0	6.0	5.0	36.0	267.0	15.0	113.0	42.0	1039.0	152.0	16.0	341.0	6682.0	5.0	2996.0	24.0	5.0	10993.0	1606.0	53.0	83.0	115.0	0.0	443.0	10351.0	145.0	4583.0	2.0	755.0	863.0	4876.0	0.0	16.0	273.0	77.0	129.0	253.0	256.0	90.0	35.0	88.0	736.0	4.0	120.0	255.0	15.0	4.0	172.0	302.0	1334.0	129.0	0.0	0.0	1453.0	18.0	10.0	446.0	101.0	0.0	189.0	0.0	491.0	41.0	5393.0	11.0	137.0	120.0	3324.0	10.0	53.0	399.0	32.0	22158.0	21.0	873.0	304.0	0.0	54.0	89.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	297.0	463.0	18.0	94.0	1947.0	0.0	0.0	213.0	173.0	138.0	758.0	538.0	6255.0	40.0	219.0	0.0	0.0	6666.0	297.0	118.0	204.0	0.0	441.0	53.0	266.0	0.0	0.0	10.0	0.0	22.0	16.0	17.0	5.0	58.0	9.0	68.0	7.0	471.0	0.0	0.0	37.0	56.0	36.0	51.0	337.0	20.0	0.0	1555.0	1724.0	771.0	0.0	0.0	0.0	90.0	0.0	143.0	337.0	718.0	747.0	146.0	0.0	624.0	603.0	0.0	2.0	375.0	12.0	185.0	126.0	1067.0	40.0	0.0	693.0	148.0	0.0	203.0	5612.0	0.0	372.0	109.0	754.0	24.0	147.0	65.0	175.0	253.0	0.0	2936.0	527.0	2.0	17.0	9.0	0.0	99.0	0.0	1749.0	6.0	24.0	128.0	0.0	0.0	28.0	152.0	0.0	338.0	2193.0	4.0	192.0	2.0	0.0	1117.0	11582.0	73.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	146.0	910.0	328.0	321.0	214.0	24.0	102.0	1451.0	4513.0	1805.0	7846.0	2366.0	1308.0	2652.0	2222.0	474.0	914.0	712.0	3659.0	520.0	2542.0	152.0	1080.0	1801.0	4614.0	4469.0	49.0	9660.0	1871.0	2344.0	633.0	5855.0	257.0	0.0	394.0	27.0	2133.0	686.0	132.0	2.0	115.0	213.0	819.0	599.0	878.0	71.0	5260.0	17.0	3215.0	304.0	849.0	222.0	275.0	514.0	384.0	1181.0	4103.0	3626.0	1575.0	49.0	6.0	1773.0	4774.0	2309.0	655.0	2001.0	2743.0	3112.0	14473.0	849.0	2441.0	1168.0	1403.0	8240.0	52.0	3252.0	3833.0	13380.0	15203.0	6848.0	647.0	1734.0	52.0	5926.0	6488.0	3405.0	5282.0	185.0	1256.0	5404.0	3956.0	2386.0	3.0	317.0	525.0	1908.0	1997.0	1147.0	26.0	311.0	3.0	933.0	184.0	138.0	292.0	1269.0	0.0	6854.0	645.0	25.0	885.0	754.0	893.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	188.0	0.0	203.0	344.0	313.0	67.0	532.0	6.0	639.0	98.0	358.0	514.0	323.0	573.0	627.0	167.0	130.0	1690.0	233.0	355.0	285.0	104.0	1184.0	785.0	6.0	222.0	302.0	371.0	12.0	1057.0	901.0	341.0	52.0	318.0	1405.0	81.0	130.0	208.0	395.0	39.0	390.0	195.0	621.0	872.0	477.0	61.0	0.0	655.0	868.0	346.0	176.0	38.0	519.0	654.0	1921.0	423.0	548.0	950.0	536.0	0.0	129.0	1442.0	849.0	0.0	0.0	586.0	488.0	214.0	583.0	651.0	775.0	0.0	1465.0	438.0	6.0	408.0	440.0	49.0	607.0	814.0	305.0	67.0	0.0	731.0	130.0	273.0	317.0	689.0	81.0	240.0	290.0	287.0	195.0	231.0	252.0	567.0	6.0	317.0	426.0	0.0	0.0	304.0	233.0	877.0	484.0	2209.0	91.0	194.0	674.0	8.0	972.0	582.0	172.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group	151.0	446.0	79.0	91.0	696.0	31.0	779.0	53.0	188.0	27.0	101.0	231.0	113.0	10.0	252.0	0.0	428.0	141.0	55.0	198.0	200.0	843.0	66.0	41.0	206.0	123.0	99.0	221.0	73.0	166.0	100.0	169.0	167.0	28.0	472.0	35.0	18.0	27.0	161.0	1064.0	34.0	188.0	81.0	0.0	1659.0	1063.0	24.0	558.0	1798.0	629.0	201.0	38.0	592.0	337.0	992.0	383.0	1155.0	436.0	130.0	1949.0	238.0	264.0	200.0	0.0	108.0	284.0	136.0	87.0	141.0	423.0	796.0	115.0	676.0	200.0	0.0	410.0	294.0	164.0	190.0	242.0	298.0	265.0	2632.0	56.0	79.0	113.0	196.0	1431.0	291.0	327.0	373.0	52.0	302.0	107.0	428.0	180.0	7.0	346.0	308.0	406.0	9.0	27.0	101.0	113.0	236.0	619.0	6.0	764.0	320.0	22.0	217.0	2132.0	38.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	912.0	118.0	196.0	18.0	1001.0	51.0	0.0	16.0	15.0	0.0	0.0	39.0	1246.0	0.0	0.0	8.0	1402.0	0.0	30.0	395.0	0.0	595.0	0.0	332.0	66.0	4620.0	3884.0	32.0	269.0	18.0	1580.0	56.0	94.0	4.0	0.0	5.0	1798.0	0.0	37.0	812.0	0.0	3.0	778.0	21.0	62.0	14.0	211.0	16.0	29.0	20.0	39.0	1909.0	560.0	102.0	0.0	147.0	0.0	0.0	1093.0	215.0	69.0	13.0	44.0	811.0	329.0	62.0	258.0	178.0	4.0	274.0	345.0	650.0	173.0	45.0	51.0	50.0	54.0	70.0	0.0	46.0	8.0	37.0	10979.0	29.0	66.0	0.0	174.0	342.0	30.0	36.0	320.0	50.0	15.0	0.0	15.0	0.0	29.0	835.0	8.0	570.0	43.0	5502.0	8.0	67.0	376.0	39.0	1088.0	0.0	1115.0	45.0	15.0	446.0	57.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	95.0	75.0	152.0	444.0	119.0	0.0	263.0	1349.0	208.0	231.0	122.0	0.0	35.0	1011.0	414.0	151.0	0.0	119.0	778.0	2360.0	1102.0	0.0	513.0	220.0	342.0	1073.0	4.0	1387.0	14.0	133.0	159.0	179.0	16.0	0.0	104.0	0.0	53.0	123.0	66.0	0.0	36.0	97.0	240.0	62.0	398.0	0.0	0.0	6.0	253.0	52.0	25.0	10.0	0.0	87.0	283.0	261.0	643.0	1455.0	248.0	0.0	0.0	488.0	136.0	0.0	0.0	1498.0	0.0	393.0	1208.0	200.0	294.0	2.0	153.0	1866.0	0.0	879.0	255.0	190.0	968.0	116.0	94.0	68.0	0.0	692.0	978.0	355.0	66.0	76.0	11.0	10.0	182.0	596.0	0.0	162.0	6.0	708.0	10.0	1087.0	12.0	2.0	0.0	469.0	80.0	0.0	386.0	541.0	2.0	2880.0	550.0	5.0	203.0	224.0	185.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	75.0	0.0	10.0	24.0	40.0	10.0	12.0	18.0	153.0	46.0	113.0	152.0	350.0	8.0	75.0	0.0	15.0	53.0	0.0	363.0	59.0	508.0	11.0	42.0	0.0	68.0	0.0	0.0	0.0	26.0	37.0	139.0	68.0	96.0	624.0	102.0	12.0	0.0	42.0	51.0	35.0	131.0	35.0	181.0	50.0	159.0	5.0	382.0	154.0	1186.0	286.0	15.0	831.0	487.0	0.0	72.0	364.0	229.0	425.0	2796.0	16.0	741.0	174.0	7.0	35.0	28.0	122.0	45.0	30.0	371.0	181.0	12.0	281.0	58.0	54.0	27.0	0.0	56.0	129.0	133.0	101.0	35.0	232.0	120.0	11.0	16.0	196.0	530.0	228.0	96.0	274.0	26.0	1222.0	32.0	1181.0	60.0	0.0	99.0	81.0	382.0	0.0	12.0	389.0	79.0	71.0	13.0	0.0	193.0	146.0	0.0	82.0	108.0	16.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	30.0	101.0	251.0	582.0	6.0	5.0	122.0	82.0	323.0	43.0	179.0	32.0	28.0	111.0	27.0	278.0	13.0	34.0	831.0	133.0	357.0	8.0	293.0	128.0	484.0	649.0	0.0	84.0	238.0	10.0	15.0	434.0	23.0	0.0	29.0	0.0	326.0	800.0	84.0	3.0	3.0	23.0	35.0	24.0	400.0	24.0	0.0	0.0	141.0	102.0	89.0	12.0	3.0	42.0	69.0	119.0	299.0	165.0	393.0	0.0	0.0	837.0	303.0	0.0	30.0	192.0	2.0	242.0	317.0	745.0	32.0	238.0	319.0	1860.0	2.0	358.0	69.0	361.0	706.0	299.0	169.0	12.0	0.0	558.0	245.0	318.0	278.0	10.0	0.0	87.0	491.0	326.0	0.0	26.0	5.0	560.0	2.0	485.0	18.0	0.0	0.0	201.0	42.0	2.0	188.0	95.0	5.0	320.0	289.0	16.0	68.0	102.0	164.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	207.0	457.0	47.0	276.0	137.0	166.0	285.0	81.0	579.0	0.0	100.0	14.0	111.0	0.0	153.0	0.0	226.0	99.0	27.0	77.0	46.0	3220.0	21.0	290.0	188.0	555.0	463.0	35.0	39.0	173.0	227.0	49.0	0.0	110.0	482.0	46.0	0.0	26.0	55.0	2303.0	43.0	181.0	92.0	31.0	386.0	286.0	0.0	560.0	517.0	710.0	488.0	20.0	30.0	346.0	115.0	227.0	97.0	67.0	43.0	1543.0	117.0	42.0	132.0	0.0	0.0	139.0	41.0	50.0	309.0	218.0	218.0	71.0	244.0	82.0	0.0	185.0	35.0	128.0	219.0	139.0	554.0	122.0	0.0	19.0	285.0	25.0	42.0	42.0	111.0	461.0	89.0	184.0	0.0	48.0	21.0	33.0	129.0	313.0	257.0	86.0	0.0	33.0	162.0	109.0	75.0	29.0	100.0	121.0	137.0	7.0	309.0	249.0	62.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	0.0	216.0	0.0	16.0	50.0	24.0	698.0	232.0	258.0	0.0	151.0	62.0	66.0	0.0	84.0	0.0	366.0	0.0	17.0	104.0	163.0	1219.0	0.0	0.0	60.0	633.0	0.0	28.0	51.0	30.0	23.0	33.0	44.0	0.0	91.0	51.0	96.0	0.0	14.0	72.0	0.0	43.0	46.0	29.0	74.0	405.0	82.0	96.0	310.0	574.0	297.0	159.0	124.0	275.0	30.0	122.0	1441.0	539.0	107.0	1786.0	175.0	739.0	134.0	1149.0	310.0	406.0	17.0	33.0	82.0	103.0	248.0	0.0	189.0	133.0	31.0	275.0	123.0	207.0	87.0	505.0	72.0	144.0	2613.0	56.0	31.0	81.0	28.0	576.0	177.0	519.0	324.0	12.0	237.0	31.0	1703.0	84.0	14.0	132.0	29.0	53.0	35.0	0.0	63.0	37.0	0.0	46.0	0.0	597.0	31.0	115.0	59.0	1363.0	33.0
